aluno_id,ano_letivo,escola,serie,turno,idade,sexo,renda_familiar,escolaridade_pais,acesso_internet,frequencia_pct,nota_matematica,nota_portugues,nota_media_geral
ALU-00001,2021,Escola Alpha,6º Ano,Manhã,18,F,5+ SM,Médio Completo,1,73.9,61.1,65.1,63.1
ALU-00002,2021,Escola Alpha,6º Ano,Manhã,16,M,1-2 SM,Superior Completo,1,94.9,61.7,57.9,59.8
ALU-00003,2021,Escola Alpha,6º Ano,Manhã,17,F,1-2 SM,Fundamental Incompleto,0,80.1,63.2,56.4,59.8
ALU-00004,2021,Escola Alpha,6º Ano,Manhã,16,M,Até 1 SM,Fundamental Completo,1,81.2,54.1,68.9,61.5
ALU-00005,2021,Escola Alpha,6º Ano,Manhã,18,M,1-2 SM,Superior Completo,1,74.3,44.4,57.5,51.0
ALU-00006,2021,Escola Alpha,6º Ano,Manhã,18,M,2-3 SM,Superior Completo,1,88.6,66.1,77.5,71.8
ALU-00007,2021,Escola Alpha,6º Ano,Manhã,18,F,Até 1 SM,Pós-graduação,1,75.3,74.0,79.7,76.9
ALU-00008,2021,Escola Alpha,6º Ano,Manhã,16,M,3-5 SM,Fundamental Incompleto,1,99.7,83.8,77.3,80.5
ALU-00009,2021,Escola Alpha,6º Ano,Manhã,18,M,1-2 SM,Superior Completo,1,64.6,67.5,45.3,56.4
ALU-00010,2021,Escola Alpha,6º Ano,Manhã,18,M,Até 1 SM,Médio Completo,1,85.7,60.3,47.6,54.0
ALU-00011,2021,Escola Alpha,6º Ano,Manhã,17,F,2-3 SM,Médio Completo,1,76.3,70.3,40.3,55.3
ALU-00012,2021,Escola Alpha,6º Ano,Manhã,16,M,1-2 SM,Superior Completo,1,85.7,67.5,59.6,63.5
ALU-00013,2021,Escola Alpha,6º Ano,Manhã,18,M,1-2 SM,Médio Completo,1,96.1,71.2,59.9,65.5
ALU-00014,2021,Escola Alpha,6º Ano,Manhã,17,M,3-5 SM,Médio Completo,0,81.5,43.8,87.1,65.5
ALU-00015,2021,Escola Alpha,6º Ano,Manhã,17,F,1-2 SM,Fundamental Completo,1,73.8,56.0,33.3,44.7
ALU-00016,2021,Escola Alpha,6º Ano,Manhã,16,F,2-3 SM,Fundamental Incompleto,1,83.1,56.4,57.5,56.9
ALU-00017,2021,Escola Alpha,6º Ano,Manhã,17,M,Até 1 SM,Superior Completo,1,89.2,69.2,76.4,72.8
ALU-00018,2021,Escola Alpha,6º Ano,Manhã,16,M,2-3 SM,Fundamental Completo,1,90.6,70.5,67.4,69.0
ALU-00019,2021,Escola Alpha,6º Ano,Manhã,16,M,Até 1 SM,Superior Completo,1,76.3,35.7,66.0,50.8
ALU-00020,2021,Escola Alpha,6º Ano,Manhã,17,F,1-2 SM,Fundamental Completo,1,95.5,51.0,83.8,67.4
ALU-00021,2021,Escola Alpha,6º Ano,Manhã,17,F,2-3 SM,,1,79.6,64.6,62.1,63.3
ALU-00022,2021,Escola Alpha,6º Ano,Manhã,16,F,2-3 SM,Fundamental Incompleto,1,92.0,74.1,48.7,61.4
ALU-00023,2021,Escola Alpha,6º Ano,Manhã,16,M,2-3 SM,Fundamental Completo,0,92.9,60.2,72.7,66.5
ALU-00024,2021,Escola Alpha,6º Ano,Manhã,18,M,1-2 SM,Fundamental Completo,1,84.3,36.4,72.2,54.3
ALU-00025,2021,Escola Alpha,6º Ano,Manhã,17,F,1-2 SM,Pós-graduação,1,81.1,96.7,49.0,72.8
ALU-00026,2021,Escola Alpha,6º Ano,Manhã,17,F,Até 1 SM,Fundamental Incompleto,1,71.2,15.0,45.0,30.0
ALU-00027,2021,Escola Alpha,6º Ano,Manhã,16,M,3-5 SM,Médio Completo,0,80.0,59.0,79.5,69.2
ALU-00028,2021,Escola Alpha,6º Ano,Manhã,18,M,1-2 SM,Médio Completo,0,83.8,69.1,54.8,62.0
ALU-00029,2021,Escola Alpha,6º Ano,Manhã,18,F,2-3 SM,Médio Completo,1,93.1,57.6,76.1,66.9
ALU-00030,2021,Escola Alpha,6º Ano,Manhã,17,F,2-3 SM,Médio Completo,1,85.3,55.6,48.8,52.2
ALU-00031,2021,Escola Alpha,6º Ano,Manhã,18,F,3-5 SM,Médio Completo,1,74.6,46.9,72.3,59.6
ALU-00032,2021,Escola Alpha,6º Ano,Manhã,17,F,3-5 SM,Fundamental Incompleto,1,79.3,53.2,62.1,57.6
ALU-00033,2021,Escola Alpha,6º Ano,Manhã,16,M,1-2 SM,Médio Completo,0,76.9,66.6,58.7,62.7
ALU-00034,2021,Escola Alpha,6º Ano,Manhã,18,M,2-3 SM,Médio Completo,1,82.3,76.2,77.0,76.6
ALU-00035,2021,Escola Alpha,6º Ano,Manhã,18,M,5+ SM,Superior Completo,1,88.7,59.6,99.6,79.6
ALU-00036,2021,Escola Alpha,6º Ano,Manhã,16,M,1-2 SM,Fundamental Incompleto,1,80.4,53.3,86.0,69.7
ALU-00037,2021,Escola Alpha,6º Ano,Tarde,16,M,1-2 SM,Fundamental Completo,1,85.2,47.5,78.7,63.1
